Stochastic Gradient Boosting 

19735 samples
   35 predictor

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 3 times) 
Summary of sample sizes: 17761, 17762, 17762, 17759, 17761, 17762, ... 
Resampling results across tuning parameters:

  interaction.depth  n.trees  RMSE      Rsquared   MAE     
  1                    100    93.45043  0.1766166  50.89241
  1                    500    89.75482  0.2372168  49.30009
  1                    900    88.47885  0.2576270  49.01290
  1                   1300    87.75230  0.2693118  48.78672
  1                   1700    87.27983  0.2766720  48.64889
  1                   2100    86.91494  0.2824388  48.53081
  1                   2500    86.65831  0.2864165  48.50868
  1                   2900    86.44444  0.2897355  48.46577
  1                   3300    86.25312  0.2927135  48.45013
  1                   3700    86.12212  0.2947218  48.47423
  1                   4100    85.96632  0.2971887  48.46993
  1                   4500    85.85038  0.2989681  48.44595
  1                   4900    85.75746  0.3004439  48.47123
  1                   5300    85.65156  0.3021020  48.47146
  1                   5700    85.56656  0.3034399  48.48270
  1                   6100    85.48043  0.3048318  48.49764
  1                   6500    85.40563  0.3060673  48.51429
  1                   6900    85.37786  0.3064885  48.54106
  1                   7300    85.29783  0.3078015  48.57627
  1                   7700    85.26264  0.3084609  48.59655
  1                   8100    85.19822  0.3095081  48.61866
  1                   8500    85.15860  0.3101417  48.65934
  1                   8900    85.13832  0.3105246  48.67490
  1                   9300    85.11257  0.3110022  48.71802
  1                   9700    85.08683  0.3114671  48.75547
  1                  10100    85.04678  0.3120862  48.77362
  1                  10500    85.01835  0.3126201  48.78508
  1                  10900    84.99228  0.3130497  48.82372
  3                    100    87.61266  0.2791825  46.94669
  3                    500    81.30135  0.3741572  43.22806
  3                    900    79.07885  0.4067130  42.04311
  3                   1300    77.45077  0.4302585  41.24488
  3                   1700    76.22986  0.4477482  40.68084
  3                   2100    75.28098  0.4611539  40.25977
  3                   2500    74.50653  0.4719087  39.92075
  3                   2900    73.86685  0.4807244  39.65942
  3                   3300    73.27432  0.4888105  39.39568
  3                   3700    72.76858  0.4957753  39.20771
  3                   4100    72.38967  0.5008881  39.07180
  3                   4500    72.07826  0.5051254  38.95209
  3                   4900    71.77389  0.5092143  38.85255
  3                   5300    71.48457  0.5131642  38.75853
  3                   5700    71.25684  0.5162261  38.67698
  3                   6100    70.97790  0.5199743  38.58102
  3                   6500    70.77696  0.5226628  38.50786
  3                   6900    70.58577  0.5252353  38.45682
  3                   7300    70.42803  0.5273936  38.41472
  3                   7700    70.28556  0.5292951  38.37115
  3                   8100    70.15702  0.5310198  38.36251
  3                   8500    70.00859  0.5330031  38.29593
  3                   8900    69.88115  0.5347198  38.27805
  3                   9300    69.76451  0.5362821  38.23070
  3                   9700    69.65771  0.5377139  38.22764
  3                  10100    69.52308  0.5394926  38.19134
  3                  10500    69.43965  0.5406338  38.15905
  3                  10900    69.33202  0.5420726  38.12946
  5                    100    84.73065  0.3249823  44.86062
  5                    500    77.48662  0.4306040  40.53127
  5                    900    74.70836  0.4697796  39.01248
  5                   1300    72.84519  0.4955083  38.16934
  5                   1700    71.64109  0.5114878  37.62783
  5                   2100    70.75058  0.5233065  37.23616
  5                   2500    70.03092  0.5328174  36.91873
  5                   2900    69.52012  0.5394698  36.71325
  5                   3300    69.08164  0.5451754  36.56060
  5                   3700    68.69481  0.5501797  36.41544
  5                   4100    68.34191  0.5547522  36.26134
  5                   4500    68.07113  0.5582203  36.17157
  5                   4900    67.80166  0.5617301  36.08979
  5                   5300    67.57047  0.5647070  36.00226
  5                   5700    67.35864  0.5674270  35.92178
  5                   6100    67.13894  0.5702378  35.82894
  5                   6500    66.99122  0.5721316  35.78645
  5                   6900    66.83270  0.5741576  35.72306
  5                   7300    66.71255  0.5756757  35.68682
  5                   7700    66.60291  0.5770852  35.65628
  5                   8100    66.48040  0.5786411  35.61173
  5                   8500    66.38973  0.5797907  35.58987
  5                   8900    66.30162  0.5809085  35.55113
  5                   9300    66.22865  0.5818154  35.51639
  5                   9700    66.15763  0.5827428  35.48047
  5                  10100    66.05411  0.5840409  35.43878
  5                  10500    65.98666  0.5848940  35.42397
  5                  10900    65.91840  0.5857510  35.39048

Tuning parameter 'shrinkage' was held constant at a value of 0.1

Tuning parameter 'n.minobsinnode' was held constant at a value of 10
RMSE was used to select the optimal model using the smallest value.
The final values used for the model were n.trees = 10900, interaction.depth
 = 5, shrinkage = 0.1 and n.minobsinnode = 10.
